question_id,question_mk,gold_answer_mk,gold_chunk_ids,source_doc_id,source_title,domain,chunk_text,valid,notes
q_0001,,,mk_wiki_1370700_chunk_0006,mk_wiki_1370700,Леонид Кучма,general,"Тефт, го нарекол изборот на гласачите помеѓу Јанукович и Јулија Тимошенко за време на вториот круг од претседателските избори во 2010 година избор помеѓу „""лош и многу полош""“ и наместо тоа го пофалил (кандидатот елиминиран во првиот круг од изборите) Арсениј Јацењук. Во септември 2011 година, Кучма изјавил дека верува оти Јанукович е вистинскиот победник на изборите во 2004 година. По претседателството. Леонид Кучма е активен во политиката откако завршил неговиот претседателски мандат. Тој се здружил со претседателот Виктор Јушченко во 2005 година, но подоцна изразил загриженост во врска со претседателот во преписката со тогашниот американски амбасадор во Украина, Џон Тефт. Кучма го поддржал Јанукович за претседател во 2010 година. Вклученост во прорускиот судир во Украина во 2014 година. Кучма ја претставувал Украина на преговорите со вооружените сепаратисти во покраините Донецк и Луганск на 21 јуни 2014 година, за да разговараат за мировниот план на претседателот Петро Порошенко. Неговата улога како дипломат била позитивно прифатена од Западот и Русија, како и од јавноста во Украина. На 11 февруари 2015 година, Кучма станал еден од потписниците на нацрт-планот за ставање крај на војната во Донбас. Самитот бил познат како Минск II. Планот обезбедил спроведување на прекин на огнот; реакцијата на лидерите во Европа била генерално позитивна. Во март 2015 година, Кучма одржал говор во кој го повикал западот на поголемо вклучување во регионот. Тој ја критикувал акцијата на силите поддржани од Русија во обидот за заземање на градот Дебалцево. Во септември 2015 година, Кучма повторно бил назначен за претставник на Украина во Трилатералната контактна група. Групата се состанала во Белорусија за да разговара за завршување на војната во Донбас. На почетокот на 2017 година, Кучма се изјаснил против превозната блокада на Донбас. Во март 2017 година на Трилатералната контактна група (ТКГ) во Минск, тој побарал Руската Федерација да го укине својот декрет за признавање на пасоши издадени во областите под контрола на сепаратистите. На 2 октомври 2018 година, Кучма поднел оставка од функцијата претставник на Украина во Трилатералната контактна група поради неговата возраст. Тој се вратил на разговорите во јуни 2019 година, на барање на новоизбраниот украински претседател Володимир Зеленски и по медијација на Виктор Пинчук. Според американски извори, тој повторно ја напуштил функцијата во јули 2020 година, наведувајќи го заморот. Тој бил заменет од Леонид Кравчук. Руска инвазија на Украина.",,
q_0002,,,mk_wiki_69327_chunk_0001,mk_wiki_69327,Американска црна мечка,general,"На југот на Алјаска и во Британска колумбија живее Кермодовата мечка (наречена ""мечка-дух""), подвид на црната мечка која има кремасто-бела боја. На Алјаска живеат и мечки со сивкасто крзно. Албино мечки се сретнуваат многу ретко. Некои единки поседуваат бели дамки на вратот или на градите. Густото крзно на овие мечки ги штити од убоди од инсекти и од студените зими. Црните мечки се способни да се држат исправено и да одат на задните нозе кои се малку подолги (13–18 cm) од предните. Секоја шепа има 5 прсти со нокти кои им служат кинење, копање и качување по дрвја. Еден удар со шепата е доволен да усмрти елен. Овој вид на мечки поседуваат мали кафени очи, заоблени уши, долга зашилена муцка со кафеава боја, издолжени ноздри и релативно кратка опашка (8–14 cm). Видот не им е многу остар, но истражувањата покажуваат дека се способни да разликуваат бои. За разлика од видот, слухот и осетот за мирис им се многу поразвиени. Формата на главата и шилестата муцка ги разликуваат од Гризлито кое исто така живее во Северна Америка Живеалиште. Црните мечки го зафаќаат просторот од Алјаска до Мексико и од Атлантикот до Тихиот Океан. Иако претпочитаат шуми, можат да се адаптираат на различни клими и природни средини: ги среќаваме во суптропските шуми на југоистокот на САД (Алабама, Флорида...), на високите планини на надморска висина од 900 до 3000 метри, но и во тундрите на Лабрадор. Исто така, живеат и во мешаните шуми во југоисточна Канада и североисток на САД. На крајот од зимата, црните мечки ги напуштаат нивните скривалишта и тргнуваат во потрага по храна во долините. Колку повеќе се приближува летото, тие се качуваат на повисоки надморски височини. Шумите претставуваат одлично место каде овие мечки се кријат и го избегнуваат силното сонце. Исхрана. Црните мечки се сештојади: растенијата претставуваат 75% од нивната исхрана. Се хранат со тревки, желади и различни плодови (лешници, бобинки, боровинки, шипинки, јаболки...). Исто така се хранат и со инсекти (термити, мравки, пчели, оси ...). Многу ретко се случува да нападнат глодачи или срни. Овој начин на исхрана го надополнуваат со лосос, пастрмка, краби, а исто така се и љубители на медот. Понекогаш се случува да се доближат до населби на човекот за да најдат храна. Се случува да нападнат овци или прасиња доколку не можат да најдат никаква друга храна. Мечките мораат да складираат резерви на масти за да ја преживеат зимата.",,
q_0003,,,mk_wiki_5677_chunk_0004,mk_wiki_5677,Сифилис,general,"Присуството се докажува или со испитување на крв или со директна визуелна проверка со микроскопија. Почесто се користат испитувањата на крв, затоа што е полесно да се изведат. Меѓутоа, дијагностичките испитувања не прават разлика помеѓу етапите на болеста. Испитувања на крвта. Испитувањата на крвта се поделени на нетрипонемални и трипонемални. Нетрипонемалните испитувања се користат на почетокот, а вклучуваат лабораториско испитување за венерична болест (VDRL) и испитувања за брз плазмен имуноглобулин Е (реагин). Меѓутоа, поради тоа што овие тестови понекогаш се лажно позитивни, потребно е да се потврди со трипонемално испитување како што е она за аглутинација на честички на трипонема палидум(TPHA) или флуоресцентно испитување за апсорпција на трипонемални антитела (FTA-Abs). Лажно позитивни резултати на нетрипонемалните испитувања може да се појават со одредени вирусни инфекции, како варичела и рубеаола, како и со лимфом, туберкулоза, маларија, ендокардитис, болест на сврзното ткиво и бременост. Испитувањата за трипонемалните антитела обично се позитивни две до пет недели по првичното инфицирање. Невросифилис се дијагностицира со високи вредности за леукоцитите (главно лимфоцити) и високи нивоа на белковини во ’рбетномозочна течност, кога веќе е познато дека постои инфекција со сифилис. Директно испитување. микроскопија на темно поле или серумска течност од шанкра може да се користат за веднаш да се утврди дијагноза. Меѓутоа, болниците не секогаш имаат опрема или искусен персонал за тоа, а испитувањата може да се направат во рок од 10 минути откако бил земен примерокот. Се вели дека со чувствителност се пријавени речиси 80%, па така, овој метод може да се користи само за утврдување на дијагноза, а не за нејзино исклучување како можност. Врз примерок од шанкра може да се направат уште две други испитувања: директно флуоресцентно испитување за антитела и испитувања за амплификација на нуклеински киселини. При директното флуоресцентно испитување се користат антитела обележани со флуоресцеин, што се врзуваат со одредени белковини на сифилис, додека при амплификација на нуклеинските киселини се користат техники, како верижна реакција на полимераза, за да се открие присуството на одредени гени на сифилисот. Овие испитувања не се толку зависни од време, затоа што за нив не се потребни живи бактерии за да се утврди дијагноза. Превентива. , нема вакцина што е ефикасна при превенцијата. Апстинирањето од интимен физички контакт со инфицирана личност е ефикасно при намалување на преносливоста на сифилис, како и правилната употреба на кондом од латекс. Меѓутоа, употребата на кондоми не го отстранува целосно ризикот.",,
q_0004,,,mk_wiki_1062427_chunk_0011,mk_wiki_1062427,Џорџ Бест,general,"Немале деца, но се зборува дека Џорџ имал две ќерки од други жени. Во 2004 година, Алекс Бест се појавила во реалити емисијата ""I’m a Celebrity… Get me out of Here!"" и го обвинила Бест дека бил насилен кон неа за време на нивниот брак. За овој проблем се зборувала и во биографската книга ""„Bestie“"" објавена во 1998 година, во која Алекс тврдела дека Џорџ ја удрил по лицето повеќе од еднаш, а тој никогаш не го негирал тоа. Претходно во биографијата е споменато дека тој удрил уште една негова девојка, а бил уапсен и обвинет за напад на келнерката Стиви Слониечка во ноември 1972 година, кога ѝ го скршил носот во ноќниот клуб ""Ruben’s"" во Манчестер.Сепак, адвокатот Џорџ Карман, кој често пиел заедно со Бест, успешно го одбранил на судењето во 1973 година. Френк Еванс, поранешен деловен партнер на Бест, во книгата ""The Last British Bullfighter"" од 2009 година, тврдел дека Карман во 1973 година понудил многу пари на некој гангстер од Манчестер за да му ги скрши нозете на Бест, откако дознал дека тој имал љубовна врска со неговата сопруга. Неговата понуда била одбиена заедно со следново предупредување од гангстерот: „Не решавам домашни пролеми и нема да го повредам Џорџ (Бест). Парите може да ги носиш на друго место. Ама ќе го кажам ова – ако му се случи нешто на Џорџ, ќе знам кој го направил тоа и ќе дојдам по тебе“. Бест имал епизодна улога во британската комедија ""Persie"" во 1971 година. Во 1984 година, Бест направил албум за фитнес со Мери Ставин кој се викал ""Shape Up and Dance"". Во мај 2000 година, бил издаден биографскиот филмот ""Best"", со Џон Линч во главната улога. Рок групата ""The Wedding Present"" го крстиле својот прв албум ""George Best"", а на корицата на албум бил Бест во црвениот дрес на Манчестер Јунајтед. По неговата смрт, Брајан Кенеди и Питер Кори издале песна која се вика ""George Best – A Tribute..."" Во 2007 година, списанието ""GQ"" го прогласило Бест за еден од 50-те најмодерни мажи во изминатите 50 години. Бест има најмалку шест автобиографии и одобрени биографии: Алкохолизам. Бест страдал од алкохолизам во поголем дел од полнолетството, водејќи кон многубројни контроверзии, а на крајот, и негова смрт. Во 1981 година, додека играл во САД, Бест украл пари од торбата на една жена што не ја познавал за да може да си купи за пиење.",,
q_0005,,,mk_wiki_1038638_chunk_0000,mk_wiki_1038638,NGC 2627,general,"NGC 2627 — расеано ѕвездено јато во соѕвездието Компас, заведено во Новиот општ каталог на длабоконебесни тела. Објектот бил предмет и на други истражувања, па освен како NGC 2627 се споменува и како OCL 714, ESO 431-SC20. Откривање. Објектот е откриен на 3 март 1793 година од страна на Вилијам Хершел, со помош на рефлекторски телескоп, чијашто леќа имала пречник од 18,7 см. Податоци. Податоци од набљудување. Според морфолошката класификација на галаксиите, NGC 2627 е од видот III2m. Видливиот сјај со голо око изнесува 8,4 ""m"". NGC 2627 има само една позната привидна димензија, која изнесува 9'. Астрономски податоци. Објектот е од епохата Ј2000.0. Неговата ректасцензија, односно аголот измерен меѓу еклиптиката и небесниот екватор со теме во пролетната точка, изнесува 8 ч 37 м 15 с, а неговата деклинација, односно висината на лакот на тој агол, - 29° 57' 18"". Други поделби. Проучување на NGC 2627 е вршено од повеќе истражувачи, па поради тоа е вклучен и во други познати збирки според различн критериуми на поделба. Така, во Каталогот на најважните галаксии (PGC), објектот се среќава со ознаката . Во рамките на атласот на длабокото небо, Уранометрија 2000.00, објектот припаѓа на групата означена со бројот 363; додека во Каталогот на основни ѕвезди (GSC) е групиран под бројот 6582. Објектот е забележан и во фотографското истражување спроведено од Паломарската опсерваторија во 1958 година, каде што се споменува во групата под број 56.",,
q_0006,,,mk_wiki_967370_chunk_0000,mk_wiki_967370,Илија Јосифов,general,"Илија Јосифов Митрев — македонски револуционер, деец на Македонската револуционерна организација. Животопис. Јосифов е роден во градот Охрид, тогаш во Отоманското Царство. Син е на Баба Крста, чија куќа е основен штаб на ВМОРО во градот, и која е постојано приведувана од турските, а подоцна и од српските власти. Брат е на Наум Јосифов и Владимир Јосифов, исто така учесници во македонското револуционерното движење. Влегува во ВМОРО и првично е терорист на организацијата. Во 1907 година станува четник и беше помошник на војводата Славејко Пирчев. Во 1909 за време на Младотурскиот режим е уапсен, осуден на 3 години и затворен во Битола. По ослободувањето на почетокот на 1912 година Јосифов учествува во нападот во Банк Салоник во Битола, излегува во илегала и станува горски војвода. Учествува во Првата балканска војна во Трета посебна партизанска чета на Македонско-одринското ополчение, на чело со Петар Чаулев, учествувала во ослободувањето на Битола. По Втората балканска војна во 1913 година српските власти го уапсиле и во 1914 година го убиваат на патот од Битола за Прилеп во планината Бабуна .",,
q_0007,,,mk_wiki_117334_chunk_0000,mk_wiki_117334,Семантика и историјат на HTML,general,"Разбирањето и учењето на HTML може да трае само неколку дена, со читање на кодови коишто ќе ви бидат потребни во понатамошната работа. Кога еднаш ќе ги совладате таговите, вие ќе бидете способни и за создавање на мрежни места. Користењето на HTML и дизајнирањето на е сосема различно. Добриот дизајн на мрежни места претставува половина вештина, половина талент. Учејќи ги техниките и правилната употреба на вашето ознака знаење, ќе се подобри вашата работа неминовно. Додека разбирањето на генералниот дизајн и разбирањето на публиката која што се обидувате да ја допрете преку мрежното место, ќе ви ги зголеми шансите за успех. За среќа овие работи можат да бидат истражени и разбрани сè додека постои волја кај вас за работа, сè со цел создавање на подобри мрежни места. Што е HTML? HTML е програмски јазик создаден да овозможи создавање на мрежни места. Овие места можат да бидат пристапени од секој којшто е поврзан на Интернет мрежата. Јазикот е релативно лесен за учење, целокупните основи на јазикот можат да бидат совладани од повеќето луѓе, за релативно кратко време. Исто така е доста моќен во однос на она што ти го овозможува да го направиш. Постојано е подложен на одредени ревизии и еволуции, сè со цел за да одговори на барањата и потребите на сè поголемата Интернет публика, која пак е под водство на W3C, организација која што е задолжена за дизајнирање и одржување на јазикот.Дефиницијата за HTML е HyperText Markup Language. Како функционира? HTML се состои од серии на кратки кодови, напишани во текстуален директориум од самиот автор — ова се таканаречените . Текстот потоа е снимен како html податотека, и е достапен преку прелистувач како што е Интернет Експлорер или Нетскејп. Овој пребарувач го чита податотекаот, и го преведува во видлива форма, со надеж дека страната ќе биде рендерирана како што намерил авторот. Пишување на сопствен HTML, вклучува правилно користење на ознаки за создавање на сопствена верзија. Може да се користи се, од обичен текстуален уредувач до моќен графички уредувач (англиски: ) за создавање на HTML страници. Структура на HTML страна. HTML страната претставува сет од инструкции, коишто му сугерираат на твојот Интернет пребарувач, како да ги прикаже вметнатите слики или текст помеѓу таговите. Пребарувачот знае за каков тип на страна се работи, врз осснова на отворачкиот таг на почетокот на страната &lt;html&gt;, и затворачкиот таг односно оној којшто ја затвора страната &lt;/html&gt;.",,
q_0008,,,mk_wiki_53614_chunk_0001,mk_wiki_53614,Лимон,general,"Зборот влече корени од старо-францускиот збор ""limon"", италијанскиот збор ""limone"", од арапскиот збор ""laymūn"" или ""līmūn"", и од персискиот ""līmūn"", кој е заеднички термин за агруми, а е сроден со санскритскиот nimbū (""лимета""). Вариетети. Лимонот се одгледува ширум светот, со голем број на вариетети. Разликите помеѓу новите вариетети се само во нивниот надворешен изглед, додека нивните хранливи својства и стопанското значење се непроменети. Лимонот ретко се користи како свежо овошје, па промените во вкусот со добивање на нови вариетети не се многу важни. За индустриска употреба е добар било кој вариетет, освен можеби оние вариетети кои не се доволно трајни, па поради тоа мора веднаш по берењето да бидат искористени. Таков вариетет е хибридот меѓу црвениот и слаткиот лимон, чии плодови се слатко-кисели, а поради тоа одгледувачите ги користат како свежо овошје. Нивниот плод мора да се потроши за два-три дена по бербата, поради што овој вариетет е скоро непознат. Лимонот се дели на жолт и зелен, но ова е само комерцијална поделба, бидејќи и двата вида на плод растат на исто дрво. Зелениот лимон се развива од пролетниот цвет, со вештачки предизвикана суша, која мора да трае околу 40 дена, меѓу месеците јуни и јули. На тој начин се добива пролетен плод, кој има тенка зелена кора и многу сочна содржина. Таквиот плод издржува долг транспорт и складирање, што овозможува извоз низ целиот свет. Жолтите плодови, кои се почести на пазарот, растат на истото дрво, само што созреваат во зимскиот период. Со ваквиот начин на култивирање на дрвото, се скратува животниот век на растението, но сепак често се користи бидејќи е комерцијално исплатлив. Сојот """"Bonnie Brae"" е долгнавест, гладок, со тенка кора и без семки. Најчесто расте во округот на Сан Диего, САД. Сојот ""Eureka"""" раѓа изобилно во текот на целата година. Овој сој е најчесто продаваниот лимон во супермаркетите, познат и како ""четири сезони"" (""Quatre Saisons"") поради неговата способност да цвета и дава плод во текот на целата година. Овој сој се одгледува и по домаќинствата. Постојат розе ""Eureka"" лимони, со розова боја на внатрешниот сочен дел и со зелено-жолта, шарена кора. Сојот """"Femminello St. Teresa"" или ""Sorrento"" потекнува од Италија. Кората на ова овошје е богата со лимонски масла, затоа овој сој се користи за правење на познатиот ликер limoncello. Сојот ""Meyer"" е хибрид помеѓу лимонот и, веројатно, портокалот или мандарината. Именуван е по Френк Н. Мејер, кој прв го вовел во САД во 1908 година.",,
q_0009,,,mk_wiki_1390914_chunk_0000,mk_wiki_1390914,Бела Сакчи Лакатош,general,"Бела Сакчи Лакатош (8 јули 1943 – 2 октомври 2022 година), познат и по мононимите Сакчи или Са-Чи, бил унгарски џез пијанист, клавијатурист, аранжер и композитор. Живот и кариера. Роден во Будимпешта, Сакчи Лакатош студирал на Бела Барток Конзерваториум и ја започнал својата професионална кариера во средината на шеесеттите години. Во 1970-тите години бил дел од квартетот на Аладар Пеже, со кого настапувал на џез фестивалот во Монтре, добивајќи одлични критички признанија. Подоцна бил дел од бендовите „Ракфого“ и „Сатурнус“, како и водач на својот ансамбл. Снимил 16 албуми и компонирал неколку мјузикли. Сакчи се смета за клучна фигура во промовирањето на џезот и фјужн жанровите во Унгарија. Во текот на својата кариера добил бројни почести и признанија, вклучувајќи ја наградата Кошут и титулата за Заслужен Уметник на Унгарија. Починал на 2 октомври 2022 година, на 79-годишна возраст.",,
q_0010,,,mk_wiki_1319765_chunk_0001,mk_wiki_1319765,Кралот на Англија и неговите три синови,general,"Тој би морал да премине низ некои големи простории, да се симне во кујната, а потоа да излезе во градината. И токму таму мора да ги набере јаболката. Ќе мора да се врати на истиот начин, а додека си оди, никогаш да не геда наназад затоа што ќе го гонат сè додека не пристигне до куќата на старецот. Тој си легнал и овој пат братот го уверил дека ништо нема да го вознемирува и како што рекол, ништо го. Утредента старецот го предупредил да не се задржува заради убава жена. Пристигнал до замокот и покрај лебедите таму видел убава жена. Го заменил својот гартер, златен часовник и џебно марамче за нејзините и ја бакнал. Откако ги добил јаболката морал да побегне со сета брзина, бидејќи тој еден час наскоро изминувал, но успеал да избега. Старецот го однел до еден бунар и инсистирал принцот да му ја отсече главата на старецот и да ја фрли во бунарот. Ова го претворило во млад, убав човек, а неговата куќата во палата. Кај вториот брат добил нов кревет, без змии или пак жаби, и исто така му ја отсекол главата, истото се случило и со првиот. Принцот повторно се сретнал со своите браќа. Тие му ги украле јаболките, а на нивно место ставиле други и продолжиле пред него. Кога пристигнал дома, неговите јаболка не биле добри како оние на брат му, па затоа татко му мислел дека се затруени и му наредил на поглаварот да му ја отсече главата. Наместо тоа, поглаварот го оставил во шумата. До него дошла мечка, па се искачил на дрво, но мечката успеала да го наговори да се симне. Мечката го однела до некои шатори, каде го пречекале и натерале да се пресоблече во убав млад човек, Џубал. Тој останал со нив и бил среќен, иако некаде го изгубил својот златен часовник. Еден ден, го забележал на дрвото каде што се качил за да се скрие од мечката и затоа се качил за повторно да го земе. Во меѓувреме, принцезата, која сфатила дека еден од синовите на кралот бил таму, тргнала со војска. Кога стигнала до кралот, барала да ги види неговите синови. Кога дошол најстариот, тој кажал дека бил во нејзиниот замок, но кога таа го фрлила марамчето и тој одел преку него, си ја скршил ногата; потоа вториот брат го кажал истото, но и тој си ја скршил ногата одејки по марамчето.",,
